"state_name","skills_name","skill_count","total_ai_listings","proportion"
"Alabama","Artificial Intelligence",12,102,0.117647058823529
"Alabama","Data Modeling",12,102,0.117647058823529
"Alabama","Machine Learning",11,102,0.107843137254902
"Alabama","Data Science",9,102,0.0882352941176471
"Alabama","Predictive Analytics",5,102,0.0490196078431373
"Alabama","Splunk",5,102,0.0490196078431373
"Alabama","Big Data",4,102,0.0392156862745098
"Alabama","Data Manipulation",4,102,0.0392156862745098
"Alabama","Data Engineering",3,102,0.0294117647058824
"Alabama","Data Intelligence",3,102,0.0294117647058824
"Alabama","Veeva",3,102,0.0294117647058824
"Alaska","Machine Learning",4,19,0.210526315789474
"Alaska","Big Data",2,19,0.105263157894737
"Alaska","Informatics",2,19,0.105263157894737
"Alaska","Artificial Intelligence",1,19,0.0526315789473684
"Alaska","Cognitive Computing",1,19,0.0526315789473684
"Alaska","Convolutional Neural Networks",1,19,0.0526315789473684
"Alaska","Data Element",1,19,0.0526315789473684
"Alaska","Data Infrastructure",1,19,0.0526315789473684
"Alaska","Data Manipulation",1,19,0.0526315789473684
"Alaska","Data Modeling",1,19,0.0526315789473684
"Alaska","Deep Learning",1,19,0.0526315789473684
"Alaska","Metadata",1,19,0.0526315789473684
"Alaska","Pattern Recognition",1,19,0.0526315789473684
"Alaska","PyTorch (Machine Learning Library)",1,19,0.0526315789473684
"Arizona","Data Modeling",46,360,0.127777777777778
"Arizona","Big Data",35,360,0.0972222222222222
"Arizona","Apache Hadoop",24,360,0.0666666666666667
"Arizona","Machine Learning",21,360,0.0583333333333333
"Arizona","Apache Spark",20,360,0.0555555555555556
"Arizona","Data Science",20,360,0.0555555555555556
"Arizona","Artificial Intelligence",17,360,0.0472222222222222
"Arizona","Metadata",16,360,0.0444444444444444
"Arizona","Splunk",14,360,0.0388888888888889
"Arizona","Data Engineering",12,360,0.0333333333333333
"Arkansas","Data Science",8,56,0.142857142857143
"Arkansas","Big Data",7,56,0.125
"Arkansas","Data Modeling",7,56,0.125
"Arkansas","Apache Hadoop",5,56,0.0892857142857143
"Arkansas","Apache Spark",4,56,0.0714285714285714
"Arkansas","Machine Learning",4,56,0.0714285714285714
"Arkansas","Data Engineering",3,56,0.0535714285714286
"Arkansas","Artificial Intelligence",2,56,0.0357142857142857
"Arkansas","Apache Airflow",1,56,0.0178571428571429
"Arkansas","Apache Mahout",1,56,0.0178571428571429
"Arkansas","Apache NiFi",1,56,0.0178571428571429
"Arkansas","Apache Oozie",1,56,0.0178571428571429
"Arkansas","Apache Yarn",1,56,0.0178571428571429
"Arkansas","Boosting",1,56,0.0178571428571429
"Arkansas","Chatbot",1,56,0.0178571428571429
"Arkansas","Data Cleansing",1,56,0.0178571428571429
"Arkansas","Data Infrastructure",1,56,0.0178571428571429
"Arkansas","Data Manipulation",1,56,0.0178571428571429
"Arkansas","Data Profiling",1,56,0.0178571428571429
"Arkansas","Kubeflow",1,56,0.0178571428571429
"Arkansas","MapReduce",1,56,0.0178571428571429
"Arkansas","Semi-Structured Data",1,56,0.0178571428571429
"Arkansas","Star Schema",1,56,0.0178571428571429
"Arkansas","Support Vector Machine",1,56,0.0178571428571429
"California","Machine Learning",316,2780,0.113669064748201
"California","Data Modeling",256,2780,0.0920863309352518
"California","Big Data",242,2780,0.0870503597122302
"California","Data Science",218,2780,0.0784172661870504
"California","Apache Hadoop",178,2780,0.0640287769784173
"California","Artificial Intelligence",166,2780,0.0597122302158273
"California","Apache Spark",131,2780,0.0471223021582734
"California","Data Engineering",109,2780,0.0392086330935252
"California","Splunk",84,2780,0.0302158273381295
"California","Metadata",69,2780,0.0248201438848921
"Colorado","Big Data",39,386,0.101036269430052
"Colorado","Machine Learning",37,386,0.0958549222797927
"Colorado","Data Modeling",33,386,0.0854922279792746
"Colorado","Apache Hadoop",26,386,0.0673575129533679
"Colorado","Artificial Intelligence",23,386,0.0595854922279793
"Colorado","Data Science",22,386,0.0569948186528497
"Colorado","Apache Spark",19,386,0.0492227979274611
"Colorado","Splunk",17,386,0.0440414507772021
"Colorado","Data Engineering",11,386,0.0284974093264249
"Colorado","MapReduce",10,386,0.0259067357512953
"Colorado","Metadata",10,386,0.0259067357512953
"Connecticut","Data Modeling",35,230,0.152173913043478
"Connecticut","Big Data",22,230,0.0956521739130435
"Connecticut","Machine Learning",16,230,0.0695652173913043
"Connecticut","Apache Hadoop",15,230,0.0652173913043478
"Connecticut","Data Engineering",15,230,0.0652173913043478
"Connecticut","Data Science",13,230,0.0565217391304348
"Connecticut","Apache Spark",12,230,0.0521739130434783
"Connecticut","Artificial Intelligence",10,230,0.0434782608695652
"Connecticut","Metadata",7,230,0.0304347826086957
"Connecticut","Splunk",5,230,0.0217391304347826
"Delaware","Data Modeling",20,100,0.2
"Delaware","Big Data",9,100,0.09
"Delaware","Apache Hadoop",6,100,0.06
"Delaware","Machine Learning",6,100,0.06
"Delaware","Apache Spark",5,100,0.05
"Delaware","Data Engineering",5,100,0.05
"Delaware","Data Science",5,100,0.05
"Delaware","Artificial Intelligence",3,100,0.03
"Delaware","Data Definition Language",3,100,0.03
"Delaware","Erwin (Data Modeling Software)",3,100,0.03
"Delaware","Machine Learning Algorithms",3,100,0.03
"Delaware","Metadata",3,100,0.03
"Delaware","Unstructured Data",3,100,0.03
"Florida","Data Modeling",71,559,0.12701252236136
"Florida","Big Data",43,559,0.0769230769230769
"Florida","Artificial Intelligence",42,559,0.075134168157424
"Florida","Data Science",37,559,0.0661896243291592
"Florida","Machine Learning",34,559,0.0608228980322004
"Florida","Apache Hadoop",28,559,0.0500894454382826
"Florida","Apache Spark",26,559,0.0465116279069767
"Florida","Splunk",24,559,0.0429338103756708
"Florida","Data Engineering",23,559,0.0411449016100179
"Florida","Metadata",16,559,0.0286225402504472
"Georgia","Data Modeling",64,537,0.119180633147114
"Georgia","Big Data",48,537,0.0893854748603352
"Georgia","Data Science",44,537,0.0819366852886406
"Georgia","Machine Learning",43,537,0.080074487895717
